ID,Section Title,Section Data,Section Type,Parent Sections,Related Sections,
156,Important/Common Lamb Diseases,"Bacterial Infections
- Joint Ill (septic polyarthritis) 
Affected lambs are lame, and often hungry as they can't keep up with the ewe, there may be swelling and heat in affected joints, and reluctance to stand. It can affect one or multiple legs. Occasionally infection can also be present in the spine, causing paralysis of the back legs or sometimes all legs (4). Lambs which recover may be permanently lame, and difficult to finish (10). Bacteria get into the lambs by mouth off the ewe's teats or through the navel, tail or castration wounds (11). Streptococcus dysgalactiae is a common cause (12), although other bacteria have been associated with disease, including Erysipelothrix rhysiopathiae (12) in older lambs or occasionally in adults. 

- Navel Ill (omphalophlebitis) 
Navel ill is when an infection is acquired through the navel of the lamb, which is like an open wound until it dries up. Symptoms include the base of the navel being wet, swollen and sometimes pus is visible, lambs can be depressed and lethargic. If the infection spreads there can also be abscesses, peritonitis (inflammation of tissue inside the abdomen), bladder infection or liver abscesses (3), or more distant consequences, such as joint ill, meningitis and septicaemia. 

- Meningitis
Meningitis is inflammation of the protective membrane around the brain and spinal cord. It can sometimes be accompanied by inflammation in the brain (encephalitis) and spinal cord (encephalomyelitis). Meningitis is often seen alongside navel ill. There are a variety of bacteria which can cause meningitis in lambs, including Streptococcal species and E. coli (13). Lambs appear depressed, hungry, have an abnormal gait, and hold their head rigidly or low (14). It is more common in older lambs (around a month old). Meningitis is most commonly bacterial in lambs, but can sometimes be caused by viruses. 

Watery Mouth 
Watery mouth (also known as rattle belly) is caused by E. coli infection in the lamb's gut, which produces toxins. It is most common in the first few days of life. Lambs acquire the infection from dirty bedding, housing or the ewe's fleece and udder. Initial symptoms include the lamb being lethargic, reluctant to suck, and depressed. After 2 to 6 hours this will progress to excessive salivation and abdominal swelling, then to coma and death (15). An early sign can be a cold mouth. 

Scour/Diarrhoea 
Scour is more frequent and watery faeces than normal. Colour, smell, consistency and presence of mucous or blood can vary. Causes of scour can be bacterial, viral, protozoal or nutritional. The most common causes for newborn lambs include (16):
- Lamb dysentery (bacteria) is caused by Clostridium perfingens type B. It causes sudden death in lambs under a week old. Dysentry (bloody diarrhoea) is more likely to be seen in lambs over 2 weeks old (17). Ewe vaccination and good colostrum management are essential for control (18). 
- Pathogenic E. coli (bacteria) produce a toxin which causes the gut balance to be disturbed and faeces to become fluid. 
- Salmonella species (bacteria) can cause diarrhoea with blood.
- Rotavirus (virus), commonly type B, has been associated with profuse diarrhoea in lambs, which look dull and dehydrated. 
- Cryptosporidium (protozoa) infection can cause severe, yellow scour, but lambs are often still active and alert until they become dehydrated. Dehydration leads to depression and then death. 
- Nutrition is a cause of scour in pet/orphan lambs raised on artificial milk substitutes. It can be due to poor quality milk replacer, errors when mixing the milk and overfeeding. 

A major cause of death due to scour is dehydration, but scour also leads to loss of electrolytes, lack of nutrients for growth and increased susceptibility of fly strike. Scour can be treated by rehydrating the lamb with rehydration fluids and encouraging suckling. Specific treatments are needed for certain diseases, seek veterinary advice where lamb diarrhoea is a problem. Some lambs that survive the initial disease will have long term gut damage and struggle to thrive for some time.  

Entropion (turned in eye lids)
Entropion is not usually fatal, but a condition of young lambs that if untreated, may warrant euthanasia due to blindness and discomfort. It is caused by the eyelid being rolled over rather than sitting flat on the eyeball. It can cause severe discomfort, runny eyes, and if left untreated lead to blindness (19). It can be present in one or both eyes. 

There is a strong genetic component to this condition (20), so affected lambs should not be used for breeding. If levels in a flock have increased since the introduction of a new ram, consider no longer breeding from that ram. Seek veterinary advice for treatment of affected lambs.",Expandable,154,,
157,Effects of Lamb Disease,"Lambs suffering from disease have a higher chance of:
- lamb mortality 
- reduced colostrum/milk intake due to weakness or discomfort, reducing suckling, leading to starvation and/or hypothermia 
- reduced growth is caused by reduced milk intake and the lamb using nutrition to fight off the disease rather than grow 
- predation due to weakness or immobility",Expandable,154,,
158,Controlling Lamb Disease,"The incidence of lamb disease can be reduced by:
- colostrum intake helps provide immune protection so the lamb is able to fight off the infection
- navel dipping effectively will help decrease the chance of bacteria infecting the lamb via the navel
- good hygiene will decrease the bacteria present in the environment
- ewe nutrition increases the colostrum production and quality of the ewe, her mothering ability and lamb size
- close observation of lambs ensures that sick lambs are spotted and treated as quickly as possible
- selection of breeding stock decreases the reoccurrence of these problems in later years by picking ewes and rams with the best traits to reduce disease prevalence and increase colostrum production and mothering ability",Expandable,154,,
159,References,"(1) AHDB. Colostrum Management for Lambs [cited 2021 August 17]. Available from: https://ahdb.org.uk/knowledge-library/colostrum-management-for-lambs
(2) Sodiq A, Yuwono P, Santosa S. Litter Size and Lamb Survivability of Batur Sheep in Upland Areas of Banjarnegara Regency, Indonesia. Animal Production. 2011;13.
(3) HCC. Making Every Lamb Count; 2011 [cited 2021 August 17]. Available from: https://meatpromotion.wales/en/industry-resources/sheep-management.
(4) AHDB Beef & Lamb. Reducing lamb losses for Better Returns; 2020 [cited 2021 August 17]. Available from: https://ahdb.org.uk/knowledge-library/reducing-lamb-losses-for-better-returns-2.
(5) Abdelqader A, Irshaid R, Tabbaa Mohammad J, Abuajamieh M, Titi H, Al-Fataftah A-R. Factors influencing Awassi lambs survivorship under fields conditions. Livestock Science. 2017;199:1-6. Available from: https://doi.org/10.1016/j.livsci.2017.03.007
(6) McLaren A, Kaseja K, Moore K, Mucha S, Dwyer C, Conington J. Lamb survival & ewe longevity; 2015 [cited 2021 August 16]. Available from: https://www.nationalsheep.org.uk/workspace/pdfs/coningtonjo22112015101634.pdf.
(7) Kaczor U. Genes Involved Litter Size in Olkuska Sheep. 2017. Avaliable from: http://dx.doi.org/10.5772/intechopen.69205
(8) Hazard D, Mace T, Foulquie D, Delval E, Douls S, Carriere F, et al. Genome wide association studies of maternal behaviours  in sheep. 2020.
(9) Selvaggi M, D'Alessandro AG, Dario C. Environmental and genetic factors affecting milk yield and quality in three Italian sheep breeds. Journal of Dairy Research. 2017;84(1):27-31. Available from: https://doi.org/10.1017/S0022029916000765
(10) FAS. Joint ill in lambs [cited 2021 August 16]. Available from: https://www.fas.scot/publication/lambing-information-sheet-joint-ill-in-lambs/.
(11) Farm Health Online. Joint-ill in sheep [cited 2021 August 18]. Available from: https://www.farmhealthonline.com/disease-management/sheep-diseases/joint-ill-sheep/.
(12) ?Swinson V. An update on joint ill in sheep. Veterinary Record. 2021;188(1):24-6. Available from: https://doi.org/10.1002/vetr.118
(13) Callanan J. Meningitis, Encephalitis, and Encephalomyelitis in Animals; 2021 [cited 2021 August 15]. Available from: https://www.msdvetmanual.com/nervous-system/meningitis,-encephalitis,-and-encephalomyelitis/meningitis,-encephalitis,-and-encephalomyelitis-in-animals.
(14) Sheep 201. Listing of sheep diseases, A-Z [cited 2021 August 16]. Available from: http://www.sheep101.info/201/diseasesa-z.html.
?(15) Angell J, Duncan J. Watery mouth disease in neonatal lambs: a systematic literature review. Livestock. 2020;25(2):94-103. Available from: https://doi-org.ezproxy.lib.gla.ac.uk/10.12968/live.2020.25.2.94
?(16) Grünberg W. Diarrhea in Neonatal Ruminants. 2021 [cited 2021 August 15]. Available from: https://www.msdvetmanual.com/digestive-system/intestinal-diseases-in-ruminants/diarrhea-in-neonatal-ruminants
(17) Grünberg W. Intestinal Diseases in Sheep and Goats. 2021 [cited 2021 August 14]. Available from: https://www.msdvetmanual.com/digestive-system/intestinal-diseases-in-ruminants/intestinal-diseases-in-sheep-and-goats 
(18) NADIS, Scott P. Clostridia and Pasteurella Vaccination. 2010 [cited 2021 August 16]. Available from: https://www.nadis.org.uk/disease-a-z/sheep/clostridia-and-pasteurella-vaccination/
(19) McCarter P. Eye Diseases in Sheep [cited 2021 August 14]. Available from: https://www.nadis.org.uk/disease-a-z/sheep/eye-diseases-in-sheep/.
(20) Mousel MR, Reynolds JO, White SN. Genome-Wide Association Identifies SLC2A9 and NLN Gene Regions as Associated with Entropion in Domestic Sheep. PLOS ONE. 2015;10(6):e0128909. Available from: https://doi.org/10.1371/journal.pone.0128909",Expandable,154,,
160,Mismothering,,Button,99,"103, 113, 105, 115, 102",Causes
161,Predisposing Factors,"Things which make mismothering more likely include:
- first time mothers tend to have a higher incidence of mismothering than experienced ewes. They show more aggressive behaviour towards their lambs than ewes who have lambed before (1). They also tend to be more skittish and easily disturbed, so are more prone due to mismothering due to stress or disruption (2)
- stress or disruption immediately following lambing can cause a ewe to leave her lamb and not return (2).
- traumatic or difficult births are associated with reduced mothering, possibly due to the ewe being in discomfort and exhausted
- ewes with low body condition are more likely to leave their lamb when food is offered. If lambs are not strong enough to follow they may not be able to keep up. It has also been shown that ewes underfed during pregnancy are less likely to lick their lambs after birth, are more aggressive towards their lambs and have a lower maternal attachment (3).
- breed of sheep can affect whether they are good or bad mothers, therefore genetics are thought to play a role in mothering ability (4)
- ewe age can influence mismothering. Lamb survival has been shown to be optimum at a ewe age of 3-5 years. Ages above or below this experience higher lamb mortality rates (5). 
- litters of multiple lambs suffer a higher rate of mismothering as the ewe may only accept the first born lamb and not the others (1)",Expandable,160,,
162,What is Mismothering?,"Mismothering is when the ewe does not take care of her lamb properly. It is thought to account for 8-13% of lamb losses (2), but also contributes to other causes of lamb death, such as starvation, hypothermia and predation. Four hours after birth, the ewe will only let her own lambs nurse, and rejects any others. By one day old, lambs will develop a preference for their own mother (6). This shows how quickly the ewe can learn to recognise her own lambs, and vice versa. Hence, the first few hours are important for establishing the ewe-lamb bond. 

A ewe with good maternal abilities will turn and lick the lamb soon after birth. This is important for rupturing the birth sac (which otherwise can cause the lamb to suffocate) and cleaning the airways. Licking also stimulates the lamb to breathe, get up and feed.",Expandable,160,,
163,Effects of Mismothering,"Lambs who have suffered from mismothering are more prone to:
- starvation due to not being allowed to feed
- hypothermia due to low colostrum intake and cold exposure of wet, unlicked lambs
- lamb death due to ewe aggression or being laid on
- lamb disease due to a reduced immune protection with low colostrum intake
- predation, as a lone or weak lamb is more likely to be targeted",Expandable,160,,
164,Preventing Mismothering,"The incidence of mismothering can be reduced by:
- bonding protocols, which can help establish the ewe-lamb bond
- reducing stress and disruption at lambing time to enable development of the ewe-lamb bond
- managing young ewes, or first time lambers, separately in a quiet, calm environment 
- good ewe nutrition will prevent the ewe wandering off without her lambs in search of food, and increase her maternal abilities
- careful selection of breeding stock will help remove ewes that are bad mothers, and ewes and rams with a tendency towards difficult lambings
- close observation of lambs and ewes to identify mismothering as quickly as possible and prevent the ewe harming the lamb",Expandable,160,,
165,References,"(1) Lv S-J, Yang Y, Li F-K. Parity and litter size effects on maternal behavior of Small Tail Han sheep in China. Animal Science Journal. 2016;87(3):361-9. Available from: https://doi.org/10.1111/asj.12441
(2) HCC. Making Every Lamb Count; 2011 [cited 2021 August 20]. Available from: https://meatpromotion.wales/en/industry-resources/sheep-management.
(3) Dwyer CM, Lawrence AB, Bishop SC, Lewis M. Ewe–lamb bonding behaviours at birth are affected by maternal undernutrition in pregnancy. British Journal of Nutrition. 2003;89(1):123-36. Available from: https://doi.org/10.1079/BJN2002743
(4) Hazard D, Mace T, Foulquie D, Delval E, Douls S, Carriere F, et al. Genome wide association studies of maternal behaviours  in sheep. 2020.
(5) McLaren A, Kaseja K, Moore K, Mucha S, Dwyer C, Conington J. Lamb survival & ewe longevity; 2015 [cited 2021 August 19]. Available from: https://www.nationalsheep.org.uk/workspace/pdfs/coningtonjo22112015101634.pdf.
(6) Mora-Medina P, Orihuela A, Arch-Tirado E, Roldán-Santiago P, Terrazas A, Mota-Rojas D. Sensory factors involved in mother-young bonding in sheep: A review. Veterinární medicína. 2018;61:595-611. Available from: https://doi.org/10.17221/255/2014-VETMED",Expandable,160,,
166,Predation and Dogs,"Factors which make a lamb more prone to being attacked by a dog or predator include:
- mismothering as a lone lamb is more likely to be targeted than one with a ewe
- lamb disease, hypothermia, starvation and low birth weight causes a lamb to be less physically fit and able to run away from predators than a healthy strong lamb
- location for example the field being close to a popular dog walking route, or near woodlands where predators may live.",Button,99,"103, 107",Causes
167,Predisposing Factors,"Factors which make a lamb more prone to being attacked by a dog or predator include:
- mismothering as a lone lamb is more likely to be targeted than one with a ewe
- lamb disease, hypothermia, starvation and low birth weight causes a lamb to be less physically fit and able to run away from predators than a healthy strong lamb
- location for example the field being close to a popular dog walking route, or near woodlands where predators may live.",Expandable,166,,
168,Predation and Dog Worrying,"Dog worrying can refer to either sheep being chased by a dog, or the dog attacking the sheep. The majority of incidence involve just one dog, with it being believed that about half the time the dog was accompanied by the owner (1). Dog worrying commonly results in sheep being stressed, mismothering, abortion, injury, death or euthanasia of the sheep. Dogs to not tend to particularly target lambs, but are more likely to target pregnant or lactating ewes. 

Predators are thought to attack the sheep 94% of the time, rather than chase them. The most common predators to sheep in Scotland are though to be foxes, crows, ravens and badgers, followed by various species of eagle and gull. The prevalence of each species differs per geographical region.  Predation commonly results in sheep being stressed, mismothering, abortion, injury, death or euthanasia of the sheep. Predators have been shown to target lambs much more commonly than any other age of sheep. They are more likely to target small weak lambs, but there have been reports of predators attacking large strong lambs (1).",Expandable,166,,
169,Effects of Predation and Dogs,"Flocks who have suffered from predation or dog worrying may experience:
- lamb mortality or injury
- ewe mortality or injury which means the ewe is not/less able to care for and feed her lamb
- ewe stress can result in mismothering and reduced milk yield",Expandable,166,,
170,Preventing Predation and Dog Worrying,"Things which may help prevent the effects of predation and dog worrying include:
- taking care to re-unite and re-bond ewes and lambs who may be prone to mismothering following an incident
- field management to ensure young lambs are kept away from dog walking paths and areas where predators may live
- enlisting the help of a gamekeeper, speaking to the public, additional fencing or putting up signage warning dog owners of the dangers of dog worrying 
- only turning out big, strong lambs who have a good chance of avoiding predators.",Expandable,166,,
171,References,"(1) Murray L, Warren R. Sheep Attacks and   Harassment   Research; 2019 [cited 2021 August 23]. Available from: https://www.gov.scot/publications/sheep-attacks-harassment-research/pages/2/.",Expandable,166,,
172,Starvation,,Button,99,"102, 105, 101, 115",Causes
173,Predisposing Factors,"Things are are likely to predispose lambs to starvation are:
- poor ewe nutrition will cause an ewe to produce less milk (1). She may not have enough milk to feed more than one lamb. 
- lambs with a low birth weight are have been shown to be more likely to die of starvation (2) as they are not as quick to stand up and nurse
- triplets are also more likely to suffer from starvation due to the competition from litter mates for milk (2)
- poor udder conformation can cause difficulty suckling e.g. if the teats are pointing forwards or very large (3)
- ewe disease can cause the ewe to not encourage the lamb to nurse, to not allow lambs to sucks due to pain (eg if she has mastitis) or to lie down meaning the lamb can't get to the teat. Mastitis is particularly likely to lead to lamb starvation, as the udders may be painful and there will be a lower quantity and quality of milk produced (3). 
- ewe death will leave the lamb without a food source. 
- mismothering will mean the ewe will not allow the lamb to feed
- orphan or pet lambs will need to be bottle fed or taught to suckle from mounted teats associated with an automatic lamb feeder
- dystocia/a difficult birth causes delayed suckling of the lamb (4)",Expandable,172,,
174,Starvation,"A lack of colostrum or milk intake will lead to starvation of the lamb. Colostrum or milk is the sole source of energy for a lamb. This means it is essential that lambs receive sufficient quantity and quality of it to ensure they can survive, grow and thrive. Hungry lamb will appear ""empty"" and hunched up, cry for the ewe, and then become comatose and die. Lambs who have not fed enough will have trouble keeping their body temperature warm enough due to a lack of energy, so are prone to hypothermia. 

Colostrum (the first milk) contains antibodies. These play an important role in strengthening the immune system of the lamb, so are essential in helping the lamb fight off disease. The lamb is only able to absorb the antibodies needed for it's immune system during the first 6 hours of life, so administering colostrum quickly is key not only to prevent starvation and hypothermia, but also to produce a healthy immune system and prevent lamb disease. 

Guidelines state that lambs should receive 50ml/kg of colostrum within two hours after birth, but really as soon as possible. In the first 24hrs they should get 200ml/kg of colostrum (5).",Expandable,172,,
175,Effects of Starvation,"Lambs are suffering of starvation are more prone to:
- increased lamb mortality
- hypothermia because once the brown fat reserves that the lamb has stored when in the uterus have run out, the lamb will no longer be able to keep itself warm unless it gets an alternative energy source like colostrum 
- lamb disease due to the lamb not getting enough colostrum, and hence not building up a good immune system. 
- reduced weight gain",Expandable,172,,
176,Preventing Starvation,"Starvation can be prevented by:
- ewe and lamb observation can help identify ewes which are feeling unwell, lambs which look empty and lambs which are not being allowed to feed
- good ewe nutrition to ensure a healthy birthweight of the lamb and sufficient quantity and quality of colostrum production by the ewe
- some lambs may need an extra supply of milk while the ewe recovers from disease. These lambs can be kept with the ewe but also bottle fed. Note that there is a significant risk that the lamb will stop nursing from the ewe due to a preference for the bottle so extreme care should be taken when undertaking this approach
- if an ewe is suspected to not be able to feed all her lambs soon after birth, some lambs can be removed and fostered onto another ewe. This is common in litters of triplets, if the ewe has a low milk yield or mastitis, or following an ewe death. Alternatively, the lamb(s) can be separated from their mother and join the pet/orphan lambs, but fostering is preferable. 
- selection of breeding stock ensures that ewes will poor teat conformations, milk yield or mothering ability are not kept for another lambing season.",Expandable,172,,
177,References,"(1) AHDB. Colostrum Management for Lambs [cited 2021 August 24]. Available from: https://ahdb.org.uk/knowledge-library/colostrum-management-for-lambs
(2) Abdelqader A, Irshaid R, Tabbaa Mohammad J, Abuajamieh M, Titi H, Al-Fataftah A-R. Factors influencing Awassi lambs survivorship under fields conditions. Livestock Science. 2017;199:1-6. Avaliable from: https://doi.org/10.1016/j.livsci.2017.03.007
(3) AHDB. Understanding mastitis in sheep; 2018 [cited 2021 August 25]. Available from: https://ahdb.org.uk/knowledge-library/understanding-mastitis-in-sheep.
(4) Jacobson C, Bruce M, Kenyon PR, Lockwood A, Miller D, Refshauge G, et al. A review of dystocia in sheep. Small Ruminant Research. 2020;192:106209. Available from: https://doi.org/10.1016/j.smallrumres.2020.106209
(5) AHDB Beef & Lamb. Reducing lamb losses for Better Returns; 2020 [cited 2021 August 24]. Available from: https://ahdb.org.uk/knowledge-library/reducing-lamb-losses-for-better-returns-2.",Expandable,172,,
178,Weak Lambs,,Button,99,"105, 102, 103, 101, 109",Causes
179,Predisposing Factors,"Things are are likely to predispose lambs to being weak is:
- low birthweight can occur for any number of reasons including ewe disease, ewe nutrition, heat stress during pregnancy, first time lambers, carrying triplets or quadruplets. There is a strong correlation between high and low birthweights and a higher instance of lamb mortality (1)
- dystocia/a difficult birth can leave a lamb worn out. After being stressed during birth or spending prolonged time in the birth canal lambs tend to be slower to stand, weaker and have a lower chance of survival (2)
- sublethal abortive disease picked up by the ewe can be passed to the lamb during pregnancy. The disease may not have resulted in an abortion, but can cause the lamb to be born live but weak due to the infection. Common diseases include Border Disease virus, enzootic abortion, Schmallenberg virus and toxoplasmosis. 
- ewe diseases which reduce Body Condition Score results in poor foetal growth during pregnancy. This causes a lamb to be born in a weakened state. 
- poor ewe nutrition can cause the birth of weak lambs as the ewe has not been able to devote enough energy to the growth of the lamb during pregnancy. Furthermore, if ewes have trace element deficiencies during pregnancy this can cause the birth of weakened lambs (3). 
- genetics can predispose lambs to being born weak. Some breeds of sheep have better or poorer lamb vigour, which influences survival.",Expandable,178,,
180,Weak Lambs,"Some lambs are born less strong than others. They may spend more time lying down, be slow to stand and suckle, more prone to mismothering, and seem confused or sleepy when they do stand up. The delay in receiving colostrum will be detrimental to their chances of survival, and predispose them to disease, starvation and hypothermia.",Expandable,178,,
181,Effects of Weak Lambs,"Lambs who are weaker than average can suffer from:
- reduced colostrum intake due to being too weak to suckle. This will subsequently put them at risk of other conditions. 
- mismothering if they are unable to keep up with their mother or stronger siblings
- hypothermia is more likely due to reduced colostrum intake as lambs need the energy from colostrum to keep themselves warm once the brown fat reserves run out. 
- starvation is also more likely due to a delay in standing and suckling, and hence colostrum intake. 
- there is an increased risk of lamb disease due to reduced colostrum intake. Colostrum is important for fighting off infections as it contains antibodies which the lamb needs to strengthen the immune system
- predation and dog attacks due to not being able to run away as quickly as other lambs
- increased risk of zoonotic disease (which can be transferred to humans) due to the cause of the lamb being weak possibly being an infection e.g. E. coli, Q fever or enzootic abortion. Hence, weak lambs should not be kept as children's pets or brought into the house. 
- lamb mortality",Expandable,178,,
182,Preventing Lamb Weakness,"Lowering the number of weak lambs and caring for them can help ensure survival. This can be done by:
- correct ewe nutrition to ensure that lambs are a good weight at birth and don't suffer from the consequences of trace element deficiencies. 
- close observation of the lambs to spot any weak ones or ewes having trouble lambing to prevent dystocia
- using bonding protocols if at risk of mismothering
- keeping the weak lambs inside or in close by, safe field for longer than others
- ensure adequate colostrum is given to each lamb by checking for hungry lambs, ewe disease, mismothering, and supplementing colostrum when necessary
- having good hygiene so lamb disease can be prevented",Expandable,178,,
183,References,"(1) McLaren A, Kaseja K, Moore K, Mucha S, Dwyer C, Conington J. Lamb survival & ewe longevity; 2015 [cited 2021 August 24]. Available from: https://www.nationalsheep.org.uk/workspace/pdfs/coningtonjo22112015101634.pdf.
(2) Jacobson C, Bruce M, Kenyon PR, Lockwood A, Miller D, Refshauge G, et al. A review of dystocia in sheep. Small Ruminant Research. 2020;192:106209. Available from: https://doi.org/10.1016/j.smallrumres.2020.106209
(3) AHDB. Feeding the ewe; 2018 [cited 2021 August 24]. Available from: https://ahdb.org.uk/knowledge-library/feeding-the-ewe.",Expandable,178,,
184,Abortions - What to do?,"Protecting humans
Some causes of abortion in sheep can cause disease in humans and are especially dangerous to pregnant women.

Care should be taken when handling
- Pregnant and recently lambed ewes (within one month of lambing)
- Any birth products (placenta, discharge or contaminated bedding)
- Aborted materials (lambs, placenta, discharges)
- Weak or sick lambs and their litter-mates


What to do
- Wear protective clothing, mask and gloves when handling dead lambs and ewes
- Before eating or entering living quarters
    - Disinfect and remove outer clothing
    - Thoroughly wash hands and arms
    - Wear a face mask to clean out sheds
     

People most at risk from diseases carried by sheep include
- Pregnant women
- The elderly
- Young children
- People ill or immunocompromised for another reason


Ensure all staff working with or near sheep are aware of the risks of catching disease from sheep, regardless of their perceived health status.


More information about these diseases can be found on the HSE website. Available from: https://www.hse.gov.uk/agriculture/topics/zoonoses.htm.

Protecting Other Sheep and Animals
Isolate
- Keep aborted ewes away from other livestock, especially pregnant ewes
- Keep weak lambs away from other livestock, but with their dam and litter-mates


Cleaning

Keep all potentially infected materials away from other livestock, dogs and cats, birds, predators
- Dead or stillborn lambs
- Aborted materials (lambs, placenta, discharge)
- Gloves used for handling any of the above

Store these securely (in a sealed container) until sent for testing or collected for disposal

 

Disinfect and/or change outer clothing after handling affected ewes and abortion products before handling other livestock. Wash hands thoroughly with disinfectant.


Indoor sheep
- Remove bedding the ewe or lambs have had contact with and burn or store securely
- Bedding to be used as fertiliser must be thoroughly composted, for example a minimum of 90 days composting is needed to reduce risks associated with Q fever
- Disinfect the pen or area thoroughly

Outdoor sheep
- Move pregnant ewes to a clean field (not used for ewes that have aborted)

Recording, Fostering and Replacement Stock
- Record the details of affected ewes and lambs to assist future investigations
- For causes of abortion that can pass onto lambs, for example Enzootic Abortion of Ewes or a genetic disease, mark ewe lambs from affected ewes to ensure they are not kept for breeding
- For Border Disease Virus, lambs can be tested to remove those carrying the virus
- Do not foster lambs onto ewes that have aborted or given birth to weak lambs, as the ewes are likely to pass disease onto the lambs


Investigate the Cause

When to investigate
- For flocks free of Enzootic Abortion of Ewes (Chlamydia abortus), investigate every abortion - just a couple of abortions due to this disease in one year can result in a huge abortion storm the following year (1)
- If more than 2% of ewes abort
- If 2 or more ewes abort in a 7 day period

 

What to do
- Contact your vet
- Collect samples
    - Within 12 hours of abortion
    - Placenta from as many aborted ewes as possible
    - Aborted lambs, ideally a minimum of 2
    - Place into a clean, sealed container to prevent leakage, one container per ewe
- Deliver samples to your vet practice or the diagnostic laboratory as early as possible, ideally within 12 hours of abortion


Additional testing of ewes may also be needed. Speak to your vet about subsidised schemes that may be available from vaccine manufacturers.


Reporting

In the unlikely event that the cause of abortion is notifiable or reportable, the farmer, vet or diagnosing laboratory are required to inform the local authorities. The full list of notifiable diseases in the UK and guidance on how to report these is available from the DEFRA website  www.gov.uk/government/collections/notifiable-diseases-in-animals (2).  

References
(1)  Essig A, Longbottom D. Chlamydia abortus: new aspects of infectious abortion in sheep and potential risk for pregnant women. Curr Clin Micro Rpt. 2015;2:22-34. https://doi.org/10.1007/s40588-015-0014-2 
(2)   DEFRA, APHA. Notifiable diseases in animals; 2019 [cited 2021 August 21]. Available from: https://www.gov.uk/government/collections/notifiable-diseases-in-animals.",Button,19,,
185,Lamb Death - What to do?,"Protecting humans
Some causes of abortion and weak lambs in sheep can cause disease in humans and are especially dangerous to pregnant women.


Care should be taken when handling
- Pregnant and recently lambed ewes (within one month of lambing)
- Any birth products (placenta, discharge or contaminated bedding)
- Aborted materials (lambs, placenta, discharges)
- Weak or sick lambs and their litter-mates


What to do
- Wear protective clothing, mask and gloves when handling dead lambs and ewes
- Before eating or entering living quarters
    - Disinfect and remove outer clothing
    - Thoroughly wash hands and arms
- Wear a face mask to clean out sheds
     

People most at risk from diseases carried by sheep include
- Pregnant women
- The elderly
- Young children
- People ill or immunocompromised for another reason


Ensure all staff working with or near sheep are aware of the risks of catching disease from sheep, regardless of their perceived health status.


More information about these diseases can be found on the HSE website. Available from: https://www.hse.gov.uk/agriculture/topics/zoonoses.htm.

Protecting Other Sheep and Animals
Isolate
- Keep weak lambs away from other livestock, but with their dam and litter-mates


Cleaning

Keep all potentially infected materials away from other livestock, dogs and cats, birds, predators
- Dead or stillborn lambs
- Aborted materials (lambs, placenta, discharge)
- Gloves used for handling any of the above

Store these securely (in a sealed container) until sent for testing or collected for disposal

 

Disinfect and/or change outer clothing after handling affected ewes and abortion products before handling other livestock. Wash hands thoroughly with disinfectant.


Indoor sheep
- Remove bedding the ewe or lambs have had contact with and burn or store securely
- Bedding to be used as fertiliser must be thoroughly composted, for example a minimum of 90 days composting is needed to reduce risks associated with Q fever
- Disinfect the pen, area or heat box thoroughly

Recording, Fostering and Replacement Stock
- Record the details of dams and litter-mates of affects lambs to assist future investigations


Investigate the Cause

When to investigate
- 10% of all lambs that die
- If more than 3% of lambs have died within 7 days of birth investigate a batch of dead lambs (this target should be adjusted according to your system and in discussion with your vet)


What to do
- Contact your vet
- Collect lambs
    - Within 12 hours of death
    - Dead lambs, ideally a minimum of 2
    - Place into a clean, sealed container to prevent leakage, one container per lamb
- Deliver lambs to your vet practice or the diagnostic laboratory as early as possible, ideally within 12 hours of abortion
- Or post mortem (PM) lambs yourself on farm, lambs that died within 48hours of birth
    - Do this with care - wear disposable gloves, cut onto a hard surface, do not PM aborted lambs?
    - Record your findings
    - Follow the instructions in the AHDB YouTube video (1) www.youtube.com/watch?v=Tu6VpAepsgc


If findings are not conclusive, performing post mortems on more lambs can help reveal patterns that may suggest underlying causes. Additional testing of ewes or other lambs may also be needed. Speak to your vet.


Reporting

In the unlikely event that the cause of death is notifiable or reportable, the farmer, vet or diagnosing laboratory are required to inform the local authorities. The full list of notifiable diseases in the UK and guidance on how to report these is available from the DEFRA website  www.gov.uk/government/collections/notifiable-diseases-in-animals (2).  

References
(1)  Phythian, C. 2012. EBLEX BRP lamb survival guide: Investigating lambing losses. AHDB Beef & Lamb YouTube Channel, https://www.youtube.com/watch?v=Tu6VpAepsgc 
(2)   DEFRA, APHA. Notifiable diseases in animals; 2019 [cited 2021 August 21]. Available from: https://www.gov.uk/government/collections/notifiable-diseases-in-animals.",Button,98,,
